case,rows,columns,requested_rank,measured_rank,redundant_rows,paired_output_error,consistent_feasibility_residual,fixed_f_difference,representable_target_roundtrip_error,f_vs_w_gradient_error,f_finite_difference_error,w_finite_difference_error,scaled_trajectory_error,mp_max_residual,inconsistent_tested,inconsistent_paired_error,inconsistent_residual
0,9,4,3,3,6,1.1102230246251565e-16,2.42861286636753e-16,0.4722582272686632,1.1102230246251565e-16,0.0,1.7794676843152502e-10,1.7794676843152502e-10,1.6653345369377348e-16,4.440892098500626e-16,True,1.1102230246251565e-16,0.27410305169832294
1,4,6,3,3,1,2.220446049250313e-16,1.8735013540549517e-16,0.4525887745852862,1.1102230246251565e-16,0.0,1.4141632309616625e-11,1.3858664216215288e-11,4.440892098500626e-16,2.220446049250313e-16,False,0.0,0.0
2,1,2,1,1,0,5.551115123125783e-17,1.1102230246251565e-16,0.31734334749253806,0.0,0.0,2.4093971262573177e-10,1.2991741016321612e-10,2.220446049250313e-16,0.0,False,0.0,0.0
3,6,4,1,1,5,0.0,2.220446049250313e-16,0.5622501866430666,0.0,0.0,2.3131457860259275e-10,2.3131457860259275e-10,3.3306690738754696e-16,5.551115123125783e-17,True,1.1102230246251565e-16,0.3564952059536288
4,5,2,1,1,4,5.551115123125783e-17,1.1102230246251565e-16,0.4139141260628337,0.0,0.0,2.6773583350347963e-11,1.4859780073095408e-11,1.6653345369377348e-16,1.1102230246251565e-16,False,0.0,0.0
5,7,3,3,3,4,1.1102230246251565e-16,3.3306690738754696e-16,5.551115123125783e-17,1.1102230246251565e-16,0.0,3.330668994517043e-10,8.067744490431756e-17,1.1102230246251565e-16,1.1102230246251565e-16,False,0.0,0.0
6,3,3,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
7,4,5,2,2,2,2.220446049250313e-16,4.440892098500626e-16,0.729027638125226,6.938893903907228e-18,0.0,1.9307461185391617e-10,1.6932477642228605e-10,3.3306690738754696e-16,2.220446049250313e-16,False,0.0,0.0
8,9,2,2,2,7,1.1102230246251565e-16,2.220446049250313e-16,0.0,5.551115123125783e-17,0.0,9.618468189523e-18,9.618468189523e-18,1.1102230246251565e-16,1.1102230246251565e-16,False,0.0,0.0
9,10,8,6,6,4,1.9984014443252818e-15,1.4210854715202004e-14,0.341727337601492,9.43689570931383e-16,0.0,1.0528025673472996e-09,2.8992852563192173e-10,3.885780586188048e-15,7.105427357601002e-15,True,1.4710455076283324e-15,0.25831897845326
10,2,8,1,1,1,1.1102230246251565e-16,4.440892098500626e-16,0.6605423119422074,1.1102230246251565e-16,0.0,2.2639162766679988e-10,2.1769758218326274e-10,2.220446049250313e-16,1.1102230246251565e-16,False,0.0,0.0
11,5,6,4,4,1,1.1102230246251565e-16,2.220446049250313e-16,0.3704680994151638,1.3877787807814457e-16,0.0,1.7052155520946854e-10,1.7052155520946854e-10,2.498001805406602e-16,2.220446049250313e-16,False,0.0,0.0
12,1,7,1,1,0,1.1102230246251565e-16,2.220446049250313e-16,0.9646245317732114,0.0,0.0,1.5041223822009897e-10,2.9367697162996365e-10,2.220446049250313e-16,2.220446049250313e-16,False,0.0,0.0
13,5,2,2,2,3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.3936403663845757e-16,1.3936403663845757e-16,1.1102230246251565e-16,2.220446049250313e-16,False,0.0,0.0
14,5,3,3,3,2,1.1102230246251565e-16,1.1102230246251565e-16,0.0,2.7755575615628914e-17,0.0,1.1102229183499639e-10,1.0627519258718063e-17,1.1102230246251565e-16,2.220446049250313e-16,False,0.0,0.0
15,3,6,3,3,0,1.6653345369377348e-16,1.1102230246251565e-16,0.28343239236830836,5.551115123125783e-17,0.0,1.7118062523024946e-10,2.0464274719245168e-10,4.440892098500626e-16,1.1102230246251565e-16,False,0.0,0.0
16,9,7,4,4,5,1.1102230246251565e-16,8.881784197001252e-16,0.3907102144762409,2.7755575615628914e-16,0.0,1.4684919946716946e-10,3.67645053289678e-10,3.3306690738754696e-16,1.1102230246251565e-15,False,0.0,0.0
17,8,4,1,1,7,5.551115123125783e-17,5.551115123125783e-17,0.8362020552136408,1.1102230246251565e-16,0.0,2.868174586723171e-10,2.868174586723171e-10,3.3306690738754696e-16,5.551115123125783e-17,False,0.0,0.0
